iter	Passed	Remaining
0	2005	2003993
1	3856	1924476
2	5618	1867258
3	7409	1845022
4	9188	1828478
5	10991	1820946
6	12879	1827092
7	14711	1824173
8	16590	1826770
9	18396	1821220
10	20146	1811315
11	22021	1813079
12	23949	1818339
13	25769	1814926
14	27533	1808008
15	29281	1800790
16	31106	1798664
17	32962	1798284
18	34700	1791624
19	36476	1787336
20	38276	1784392
21	40076	1781587
22	41821	1776516
23	43608	1773402
24	45416	1771247
25	47285	1771371
26	49042	1767358
27	50761	1762161
28	52568	1760151
29	54407	1759167
30	56261	1758622
31	58062	1756388
32	59904	1755375
33	61768	1754955
34	63560	1752461
35	65480	1753417
36	67347	1752856
37	69260	1753381
38	71118	1752425
39	72941	1750603
40	74684	1746899
41	76522	1745447
42	78377	1744354
43	80251	1743646
44	82047	1741220
45	83909	1740206
46	85812	1739990
47	87622	1737839
48	89443	1735939
49	91306	1734820
50	93061	1731666
51	94888	1729888
52	96666	1727230
53	98435	1724445
54	100282	1723042
55	102127	1721582
56	103988	1720375
57	105842	1719026
58	107692	1717604
59	109590	1716916
60	111470	1715918
61	113416	1715882
62	115261	1714293
63	117159	1713461
64	119090	1713076
65	120939	1711479
66	122783	1709799
67	124672	1708741
68	126533	1707287
69	128320	1704825
70	130184	1703397
71	132139	1703125
72	134063	1702427
73	135903	1700632
74	137816	1699736
75	139655	1697914
76	141518	1696386
77	143287	1693726
78	145117	1691808
79	147007	1690583
80	148930	1689716
81	150764	1687831
82	152595	1685908
83	154522	1685026
84	156370	1683283
85	158260	1681972
86	160148	1680637
87	162031	1679231
88	163892	1677593
89	165790	1676325
90	167589	1674055
91	169543	1673321
92	171398	1671595
93	173317	1670486
94	175187	1668887
95	177073	1667437
96	178956	1665951
97	180820	1664289
98	182727	1663000
99	184611	1661506
100	186469	1659765
101	188342	1658152
102	190255	1656884
103	192148	1655429
104	193988	1653524
105	195847	1651768
106	197779	1650629
107	199692	1649309
108	201492	1647064
109	203280	1644720
110	205180	1643295
111	207025	1641415
112	208893	1639721
113	210871	1638881
114	212755	1637290
115	214692	1636102
116	216563	1634405
117	218417	1632580
118	220307	1631019
119	222204	1629502
120	224029	1627454
121	225897	1625720
122	227828	1624438
123	229799	1623421
124	231705	1621939
125	233647	1620695
126	235594	1619483
127	237524	1618134
128	239414	1616515
129	241343	1615143
130	243241	1613562
131	245116	1611829
132	246883	1609384
133	248733	1607486
134	250510	1605125
135	252382	1603371
136	254205	1601309
137	256111	1599771
138	257993	1598076
139	259883	1596426
140	261785	1594852
141	263672	1593175
142	265636	1591962
143	267559	1590492
144	269441	1588775
145	271376	1587364
146	273278	1585760
147	275180	1584149
148	277072	1582471
149	279017	1581100
150	280998	1579917
151	282890	1578230
152	284641	1575762
153	286493	1573856
154	288303	1571716
155	290183	1569968
156	292033	1568054
157	293952	1566505
158	295805	1564608
159	297645	1562639
160	299338	1559907
161	301124	1557668
162	302912	1555444
163	304680	1553128
164	306503	1551094
165	308332	1549093
166	310159	1547081
167	311983	1545060
168	313896	1543478
169	315741	1541563
170	317550	1539472
171	319232	1536771
172	321021	1534593
173	322778	1532268
174	324611	1530310
175	326422	1528248
176	328282	1526423
177	330063	1524223
178	331880	1522200
179	333557	1519539
180	335343	1517384
181	337140	1515281
182	338921	1513108
183	340686	1510870
184	342452	1508642
185	344158	1506157
186	345856	1503643
187	347548	1501115
188	349232	1498559
189	350969	1496240
190	352702	1493907
191	354487	1491801
192	356247	1489595
193	358011	1487408
194	359770	1485207
195	361490	1482849
196	363234	1480597
197	364966	1478298
198	366773	1476310
199	368510	1474043
200	370154	1471410
201	371889	1469147
202	373599	1466793
203	375340	1464564
204	377052	1462228
205	378808	1460068
206	380643	1458214
207	382463	1456302
208	384348	1454640
209	386123	1452558
210	387980	1450790
211	389808	1448912
212	391643	1447057
213	393454	1445118
214	395324	1443394
215	397144	1441485
216	398905	1439369
217	400570	1436908
218	402351	1434870
219	404107	1432745
220	405907	1430777
221	407723	1428870
222	409513	1426869
223	411306	1424884
224	413112	1422943
225	414986	1421238
226	416811	1419363
227	418657	1417558
228	420502	1415753
229	422330	1413890
230	424127	1411921
231	425827	1409636
232	427642	1407731
233	429495	1405954
234	431291	1403991
235	433125	1402150
236	434948	1400278
237	436749	1398331
238	438564	1396434
239	440429	1394693
240	442234	1392762
241	443994	1390693
242	445712	1388496
243	447519	1386577
244	449384	1384838
245	451174	1382868
246	452948	1380852
247	454775	1378998
248	456499	1376833
249	458317	1374952
250	460088	1372933
251	461894	1371020
252	463702	1369114
253	465558	1367349
254	467466	1365736
255	469319	1363960
256	470980	1361627
257	472818	1359812
258	474648	1357972
259	476486	1356154
260	478285	1354225
261	480052	1352209
262	481840	1350251
263	483604	1348231
264	485438	1346405
265	487180	1344324
266	489024	1342528
267	490834	1340638
268	492632	1338714
269	494494	1336967
270	496321	1335122
271	498101	1333154
272	499884	1331194
273	501663	1329225
274	503444	1327263
275	505239	1325337
276	506953	1323203
277	508785	1321377
278	510637	1319604
279	512391	1317579
280	514250	1315822
281	515931	1313612
282	517745	1311743
283	519521	1309780
284	521312	1307855
285	523201	1306174
286	525064	1304428
287	526782	1302323
288	528629	1300537
289	530483	1298770
290	532289	1296883
291	534188	1295223
292	536023	1293408
293	537756	1291347
294	539600	1289553
295	541473	1287827
296	543415	1286266
297	545270	1284496
298	547146	1282775
299	548948	1280878
300	550816	1279138
301	552682	1277391
302	554535	1275615
303	556245	1273510
304	558022	1271559
305	559833	1269688
306	561708	1267960
307	563538	1266131
308	565431	1264443
309	567258	1262607
310	569089	1260779
311	570994	1259116
312	572891	1257433
313	574763	1255692
314	576626	1253934
315	578450	1252089
316	580382	1250477
317	582285	1248800
318	584157	1247057
319	586022	1245297
320	587874	1243511
321	589758	1241788
322	591548	1239871
323	593312	1237898
324	595147	1236074
325	596994	1234276
326	598871	1232540
327	600735	1230774
328	602594	1228999
329	604500	1227318
330	606417	1225660
331	608296	1223922
332	610138	1222109
333	612067	1220470
334	613962	1218760
335	615837	1217011
336	617709	1215255
337	619578	1213493
338	621435	1211708
339	623311	1209957
340	625237	1208304
341	627054	1206437
342	628902	1204632
343	630797	1202916
344	632683	1201182
345	634547	1199404
346	636343	1197499
347	638098	1195517
348	639920	1193662
349	641698	1191726
350	643542	1189911
351	645403	1188129
352	647283	1186380
353	649129	1184569
354	650981	1182769
355	652851	1181000
356	654728	1179245
357	656608	1177493
358	658490	1175744
359	660343	1173944
360	662155	1172070
361	663863	1170012
362	665734	1168245
363	667519	1166324
364	669314	1164424
365	671234	1162739
366	673087	1160938
367	674959	1159169
368	676739	1157243
369	678537	1155347
370	680382	1153532
371	682318	1151870
372	684177	1150078
373	686144	1148467
374	688031	1146718
375	689854	1144864
376	691744	1143120
377	693588	1141301
378	695405	1139437
379	697286	1137677
380	699138	1135870
381	701004	1134085
382	702860	1132283
383	704717	1130484
384	706611	1128743
385	708545	1127064
386	710421	1125292
387	712230	1123414
388	714111	1121650
389	715989	1119881
390	717886	1118140
391	719719	1116299
392	721574	1114493
393	723431	1112688
394	725233	1110800
395	727135	1109065
396	728989	1107255
397	730851	1105458
398	732707	1103652
399	734579	1101869
400	736459	1100098
401	738347	1098338
402	740290	1096659
403	742118	1094808
404	744021	1093068
405	745909	1091305
406	747809	1089560
407	749758	1087884
408	751672	1086156
409	753554	1084382
410	755473	1082661
411	757360	1080893
412	759223	1079090
413	761136	1077357
414	763060	1075638
415	764906	1073811
416	766721	1071939
417	768505	1070024
418	770303	1068130
419	772192	1066361
420	774016	1064502
421	775879	1062697
422	777664	1060786
423	779571	1059040
424	781410	1057202
425	783284	1055411
426	785261	1053758
427	787129	1051958
428	788942	1050084
429	790779	1048242
430	792628	1046417
431	794586	1044734
432	796491	1042980
433	798361	1041181
434	800269	1039431
435	802134	1037623
436	803882	1035665
437	805657	1033742
438	807494	1031900
439	809339	1030069
440	811165	1028211
441	812981	1026343
442	814859	1024552
443	816702	1022717
444	818580	1020926
445	820411	1019076
446	822289	1017284
447	824142	1015461
448	825940	1013570
449	827717	1011654
450	829544	1009800
451	831272	1007826
452	833137	1006017
453	834931	1004124
454	836710	1002213
455	838436	1000239
456	840307	998439
457	842214	996681
458	844121	994922
459	845970	993096
460	847857	991313
461	849775	989565
462	851670	987790
463	853539	985985
464	855404	984175
465	857299	982399
466	859176	980602
467	861033	978781
468	862881	976950
469	864751	975145
470	866688	973414
471	868491	971533
472	870451	969827
473	872328	968026
474	874206	966228
475	876070	964413
476	877934	962599
477	879815	960802
478	881779	959096
479	883686	957326
480	885514	955471
481	887346	953621
482	889146	951736
483	891007	949917
484	892868	948097
485	894688	946233
486	896532	944396
487	898328	942508
488	900194	940693
489	902119	938940
490	904017	937158
491	905888	935348
492	907728	933506
493	909563	931658
494	911383	929795
495	913230	927959
496	915090	926137
497	916949	924314
498	918867	922550
499	920722	920722
500	922608	918925
501	924498	917132
502	926347	915297
503	928183	913449
504	930063	911646
505	931976	909873
506	933841	908054
507	935620	906152
508	937386	904237
509	939193	902362
510	941052	900537
511	942912	898713
512	944782	896898
513	946625	895058
514	948471	893220
515	950467	891523
516	952433	889797
517	954390	888061
518	956287	886270
519	958187	884480
520	960053	882659
521	961998	880910
522	963918	879138
523	965769	877301
524	967670	875511
525	969617	873762
526	971395	871860
527	973190	869973
528	975120	868207
529	976913	866319
530	978749	864470
531	980557	862595
532	982390	860743
533	984267	858929
534	986051	857035
535	987872	855173
